id,division id,division name,game id,date,start time,end time,field id,field name,home id,home name,home score,away id,away name,away score
164053,4281,U6 Coed,,9/30/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,121386,U6C Team Endy Monday 5:30 R8D,,130085,U5U6C SOUTH Team Roque/Halpin,
164054,4281,U6 Coed,,10/7/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,121387,U6C Team Swenck,,130470,U6C Team Fairclough,
164055,4281,U6 Coed,,10/7/2023,13:30,14:30,454843,Robious Middle School 9D 3v3,133770,U6C Team Hall,,121385,U6C Team Marano/Chamberlain,
164056,4281,U6 Coed,,10/7/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,131677,U6C Team Edwards Friday 5:30 R8C,,132740,U6C Team Bowman Friday 5:30 R8A,
164057,4281,U6 Coed,,10/7/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,133771,U6C Team Montoya,,123789,U5U6C SOUTH Team Loughrey,
164058,4281,U6 Coed,,10/7/2023,12:30,13:30,454846,Robious Middle School 9F 3v3,129425,U6C Team Ellmore Wednesday 5:30 8B,,136649,U6C Team Innes,
164059,4281,U6 Coed,,10/7/2023,10:30,11:30,478675,Horner Park 8 A 3v3,130085,U5U6C SOUTH Team Roque/Halpin,,121388,U6C Team Franklin/Malhotra,
164060,4281,U6 Coed,,10/7/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,122529,U6C Team Gallagher,,121386,U6C Team Endy Monday 5:30 R8D,
164061,4281,U6 Coed,,10/14/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,136649,U6C Team Innes,,130470,U6C Team Fairclough,
164062,4281,U6 Coed,,10/14/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,121388,U6C Team Franklin/Malhotra,,132740,U6C Team Bowman Friday 5:30 R8A,
164063,4281,U6 Coed,,10/14/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,123789,U5U6C SOUTH Team Loughrey,,131677,U6C Team Edwards Friday 5:30 R8C,
164064,4281,U6 Coed,,10/14/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,133770,U6C Team Hall,,129425,U6C Team Ellmore Wednesday 5:30 8B,
